CMPD_CHEMBLID,CANONICAL_SMILES,STANDARD_VALUE
CHEMBL212200,CC(C)CCN1C(=O)C(=C(O)c2cccnc12)C3=NS(=O)(=O)c4cc(NS(=O)(=O)NN5CCCC5)ccc4N3,27
CHEMBL209853,OC(=O)c1ccc2c(c1)nc(c3ccc(OCc4cc(ccc4c5ccc(Cl)cc5)C(=O)NCc6ccccc6)cc3)n2C7CCCCC7,29
CHEMBL425693,Cn1c(c2ccccc2)c(C3CCCCC3)c4ccc(cc14)C(=O)O,30
CHEMBL216000,OC(=O)c1ccc2c(C3CCCCC3)c([nH]c2c1)c4cocc4,30
CHEMBL366197,OC(=O)\C(=C\c1ccc(Oc2c(F)cccc2Br)cc1)\NC(=O)c3ccccc3,30
CHEMBL190558,CN(C)C(=O)Cn1c(c2cocc2)c(C3CCCCC3)c4ccc(cc14)C(=O)O,31
CHEMBL212363,CC(C)C(=O)N(C)c1ccc(c(COc2ccc(c(F)c2)c3nc4cc(ccc4n3C5CCCCC5)C(=O)O)c1)c6ccc(Cl)cc6,32
CHEMBL378218,CN(C)C(=O)c1ccc(COc2ccc(cc2)c3nc4cc(ccc4n3C5CCCCC5)C(=O)O)c(c1)c6ccc(Cl)cc6,32
CHEMBL211044,CC(C)CCN1C(=O)C(=C(O)c2cccnc12)C3=NS(=O)(=O)c4cc(NS(=O)(=O)NC5CCNCC5)ccc4N3,32
CHEMBL203426,Nc1ccc2N(CCC3CC3)C(=O)C(=C(O)c2c1)C4=NS(=O)(=O)c5ccccc5N4,32
CHEMBL201558,CC(C)CCN1C(=O)C(=C(O)c2c(Cl)cccc12)C3=NS(=O)(=O)c4ccccc4N3,33
CHEMBL201690,CC(C)CCN1C(=O)C(=C(O)c2cc(OCC#N)ccc12)C3=NS(=O)(=O)c4ccccc4N3,34
CHEMBL201332,OC1=C(C2=NS(=O)(=O)c3ccccc3N2)C(=O)N(Cc4cccc(Br)c4)c5ccccc15,36
CHEMBL216143,CC(C)N1CCn2c(c3ccccc13)c(C4CCCCC4)c5ccc(cc25)C(=O)O,36
CHEMBL424769,NC(=O)c1ccc2[nH]cc(C[C@H](NC(=O)c3ccc4c(c3)nc(c5cocc5)n4C6CCCCC6)C(=O)O)c2c1,37
CHEMBL369320,OC(=O)c1ccc2c(C3CCCCC3)c(c4ccccc4)n(Cc5ccccc5)c2c1,37
CHEMBL215007,COc1ccc(CCC2(CC(=O)C(=C(O)O2)Sc3nncn3C)C4CCCC4)cc1Cl,38
CHEMBL215708,OC(=O)c1ccc2c(C3CCCCC3)c4c5ccccc5SCCn4c2c1,38
CHEMBL378748,CC(C)CCN1C(=O)C(=C(O)c2cccnc12)C3=NS(=O)(=O)c4cc(NS(=O)(=O)NC5CCCC5)ccc4N3,39
CHEMBL189744,CN1CCN(CC1)C(=O)Cn2c(c3ccccc3)c(C4CCCCC4)c5ccc(cc25)C(=O)O,39
CHEMBL362834,CN(C)C(=O)Cn1c(c2cccc(Cl)c2)c(C3CCCCC3)c4ccc(cc14)C(=O)O,40
CHEMBL370679,OC(=O)\C(=C\c1ccc(Oc2ccccc2I)cc1)\NC(=O)c3ccccc3,40
CHEMBL440992,OC(=O)c1ccc2c(C3CCCCC3)c4c5ccccc5N(Cc6ccccc6)CCn4c2c1,41
CHEMBL188698,CN(C)C1CCN(CC1)C(=O)Cn2c(c3ccccc3)c(C4CCCCC4)c5ccc(cc25)C(=O)O,41
CHEMBL383733,CC(C)CCN1C(=O)C(=C(O)c2cccnc12)C3=NS(=O)(=O)c4cc(NS(=O)(=O)Nc5ccccc5)ccc4N3,41
CHEMBL203254,CC1CC1CN2C(=O)C(=C(O)c3ccccc23)C4=NS(=O)(=O)c5ccccc5N4,41
CHEMBL373786,OC(=O)c1ccc2c(c1)nc(c3ccc(OCc4cc(ccc4c5ccc(Cl)cc5)C#N)cc3)n2C6CCCCC6,41
CHEMBL372235,OC(=O)c1ccc2c(C3CCCCC3)c(c4ccccc4)n(CC(=O)N5CCS(=O)(=O)CC5)c2c1,43
CHEMBL201406,CC(C)CCN1C(=O)C(=C(O)c2cc(Cl)ccc12)C3=NS(=O)(=O)c4ccccc4N3,43
CHEMBL377394,CC(C)CCN1C(=O)C(=C(O)c2cccnc12)C3=NS(=O)(=O)c4cc(NS(=O)(=O)Nc5cccc(c5)C(=O)N)ccc4N3,43
CHEMBL208595,CC(C)CCN1C(=O)C(=C(O)c2cccnc12)C3=NS(=O)(=O)c4cc(NS(=O)(=O)Nc5cccc(c5)C(=O)NCC(=O)N)ccc4N3,43
CHEMBL241423,CNC(=O)c1ccc(NS(=O)(=O)Nc2ccc3NC(=NS(=O)(=O)c3c2)C4=C(O)c5cccnc5N(CCC(C)C)C4=O)cc1,43
CHEMBL202165,CC(CCN1C(=O)C(=C(O)c2ccccc12)C3=NS(=O)(=O)c4ccccc4N3)C(F)(F)F,44
CHEMBL215329,Cc1c(c2cocc2)n(C3CCCCC3)c4ccc(cc14)C(=O)O,44
CHEMBL174719,OC(=O)C(=O)\C=C(/O)\c1cccc(OCc2cc(Cl)cc(Cl)c2C#N)c1,45
CHEMBL361202,CS(=O)(=O)NC(=O)Cn1c(c2ccccc2)c(C3CCCCC3)c4ccc(cc14)C(=O)O,45
CHEMBL216647,CC(C)(NC(=O)c1ccc2c(C3CCCCC3)c4c5ccccc5OCCn4c2c1)C(=O)O,46
CHEMBL201600,CC(C)CCN1C(=O)C(=C(O)c2c(O)cccc12)C3=NS(=O)(=O)c4ccccc4N3,47
CHEMBL188218,CN(CC1CCCN(C)C1)C(=O)Cn2c(c3ccccc3)c(C4CCCC4)c5ccc(cc25)C(=O)O,47
CHEMBL217259,OC(=O)c1ccc2C(=C3C(CCCOc4ccccc34)c2c1)C5CCCCC5,47
CHEMBL201769,CC(C)CCN1C(=O)C(=C(O)c2cc(C)ccc12)C3=NS(=O)(=O)c4ccccc4N3,47
CHEMBL240779,COC(=O)c1ccc(NS(=O)(=O)Nc2ccc3NC(=NS(=O)(=O)c3c2)C4=C(O)c5cccnc5N(CCC(C)C)C4=O)cc1,48
CHEMBL368884,OC(=O)c1ccc2c(C3CCCCC3)c([nH]c2c1)c4ccccc4,48
CHEMBL202595,CC(C)(C)CCN1C(=O)C(=C(O)c2cc(NCCO)ccc12)C3=NS(=O)(=O)c4ccccc4N3,48
CHEMBL201385,OC1=C(C(=O)N(CC2CCC2)c3ccccc13)C4=NS(=O)(=O)c5ccccc5N4,49
CHEMBL188969,CN(C)C1CCN(CC1)C(=O)Cn2c(C=C)c(C3CCCCC3)c4ccc(cc24)C(=O)O,49
CHEMBL198718,OC(=O)C(=O)\C=C(/O)\c1cccc(NS(=O)(=O)c2cc(Cl)c(Cl)cc2Cl)c1,49
CHEMBL209425,OC(=O)c1ccc2c(c1)nc(c3ccc(OCc4ccccc4c5ccc(Cl)cc5)cc3)n2C6CCCCC6,50
CHEMBL367225,OC(=O)[C@H](Cc1c[nH]c2ccc(O)cc12)NC(=O)c3ccc4c(c3)nc(c5cocc5)n4C6CCCCC6,50
CHEMBL380997,CCC[C@]1(CC(=O)O)OCCc2c1sc3c(C)cc(F)c(C#N)c23,50
CHEMBL211507,OC(=O)c1ccc2c(c1)nc(c3ccc(OCc4cc(Cl)ccc4c5ccc(Cl)cc5)cc3)n2C6CCCCC6,50
CHEMBL365135,CCc1ccccc1C(=O)N\C(=C/c2ccc(Oc3ccccc3Br)cc2)\C(=O)O,50
CHEMBL377356,CC(C)CCN1C(=O)C(=C(O)c2cccnc12)C3=NS(=O)(=O)c4cc(NS(=O)(=O)NC(=O)OCC(=O)O)ccc4N3,50
CHEMBL216863,Cn1c(c2cocc2)c(C3CCCCC3)c4ccc(nc14)C(=O)O,51
CHEMBL212582,OC(=O)c1ccc2c(c1)nc(c3ccc(OCc4cccnc4c5ccc(Cl)cc5)cc3)n2C6CCCCC6,53
CHEMBL201456,CSCCN1C(=O)C(=C(O)c2ccccc12)C3=NS(=O)(=O)c4ccccc4N3,53
CHEMBL209681,OC(=O)c1ccc2c(c1)nc(c3ccc(OCc4cc(Cl)ccc4c5ccc(cc5)C#N)cc3)n2C6CCCCC6,55
CHEMBL372590,OC(=O)C(=O)\C=C(/O)\c1cccc(OCc2cc(Cl)c(Cl)cc2C#N)c1,56
CHEMBL394033,COc1ccccc1CNS(=O)(=O)Nc2ccc3NC(=NS(=O)(=O)c3c2)C4=C(O)c5cccnc5N(CCC(C)C)C4=O,57
CHEMBL3651431,CNC(=O)c1c(oc2ccc(c(F)c12)c3cc(ccc3C)C(=O)NC4(COC4)c5ccccc5)c6ccc(F)cc6,57
CHEMBL211004,CC(C)CCN1C(=O)C(=C(O)c2cccnc12)C3=NS(=O)(=O)c4cc(NS(=O)(=O)NC(=O)OCc5ccccc5)ccc4N3,58
CHEMBL373930,OC(=O)c1ccc(cc1)c2ccc(Cl)cc2COc3ccc(cc3)c4nc5cc(ccc5n4C6CCCCC6)C(=O)O,58
CHEMBL213832,CN(C)C(=O)Cn1c(c2ccccc2)c(C3CCCCC3)c4sc(cc14)C(=O)O,58
CHEMBL180772,CCC(CC)CN1C(=O)C(=C(O)c2cccnc12)C3=NS(=O)(=O)c4ccccc4N3,58
CHEMBL178126,CN(C)C(=O)Cn1c(c2ccccc2)c(C3CCCCC3)c4ccc(cc14)C(=O)O,59
CHEMBL381613,CC(C)(C)[C@@H]1N(Cc2ccc(F)cc2)C(=O)C(=C1O)C3=NS(=O)(=O)c4ccccc4N3,59
CHEMBL174670,CC(=O)Nc1ccc2[nH]cc(C[C@H](NC(=O)c3ccc4c(c3)nc(c5cocc5)n4C6CCCCC6)C(=O)O)c2c1,60
CHEMBL371345,OC(=O)CNC(=O)\C(=C\c1ccc(Oc2ccccc2Br)cc1)\NC(=O)c3ccccc3,60
CHEMBL201337,OC1=C(C2=NS(=O)(=O)c3ccccc3N2)C(=O)N(Cc4ccncc4)c5ccccc15,61
CHEMBL379184,CCOC(=O)COC(=O)NS(=O)(=O)Nc1ccc2N=C(NS(=O)(=O)c2c1)C3=C(O)c4cccnc4N(CCC(C)C)C3=O,61
CHEMBL191446,CC(C)N(C)C(=O)Cn1c(c2ccccc2)c(C3CCCCC3)c4ccc(cc14)C(=O)O,62
CHEMBL426302,CC(C)CCN1C(=O)C(=C(O)c2cc(N)ccc12)C3=NS(=O)(=O)c4ccccc4N3,62
CHEMBL241629,COC(=O)NS(=O)(=O)Nc1ccc2NC(=NS(=O)(=O)c2c1)C3=C(O)c4cccnc4N(CCC(C)C)C3=O,63
CHEMBL211213,CN(C)c1ccc(c(COc2ccc(cc2)c3nc4cc(ccc4n3C5CCCCC5)C(=O)O)c1)c6ccc(Cl)cc6,63
CHEMBL364269,OC(=O)c1ccc2c(C3CCCCC3)c(c4ccccc4)n(CC(=O)NCC5CC5)c2c1,63
CHEMBL377275,CCC(C)CCN1C(=O)C(=C(O)c2ccccc12)C3=NS(=O)(=O)c4ccccc4N3,65
CHEMBL386744,OC(=O)c1cc2[nH]c(c3ccccc3)c(C4CCCCC4)c2s1,66
CHEMBL384446,CC(C)CCN1C(=O)C(=C(O)c2cccnc12)C3=NS(=O)(=O)c4cc(NS(=O)(=O)NC5CCCCC5)ccc4N3,67
CHEMBL189534,CN1CCN(CC1)C(=O)Cn2c(c3ccccc3)c(C4CCCC4)c5ccc(cc25)C(=O)O,68
CHEMBL377889,NC(=O)c1ccc(cc1)c2ccc(Cl)cc2COc3ccc(cc3)c4nc5cc(ccc5n4C6CCCCC6)C(=O)O,69
CHEMBL439848,COc1ccc(cn1)c2c(C3CCCCC3)c4ccc(cc4n2CC(=O)N(C)C)C(=O)O,69
CHEMBL193427,OC(=O)\C(=C\c1ccc(Oc2c(F)cccc2Cl)cc1)\NC(=O)c3ccccc3,70
CHEMBL191820,OC(=O)\C(=C\c1ccc(Oc2ccccc2Br)cc1)\NC(=O)C34CC5CC(CC(C5)C3)C4,70
CHEMBL187653,CN(C)C1CNC(C1)C(=O)Cn2c(c3ccccc3)c(C4CCCCC4)c5ccc(cc25)C(=O)O,71
CHEMBL364941,CN(C)C1CCN(CC1)C(=O)Cn2c(C3CCCCC3)c(C4CCCCC4)c5ccc(cc25)C(=O)O,72
CHEMBL209357,CC(C)CCN1C(=O)C(=C(O)c2cccnc12)C3=NS(=O)(=O)c4cc(NS(=O)(=O)NC(=O)OCC#C)ccc4N3,72
